id,first_name,last_name,date_of_birth,department_id,date_started,level_id,salary
1,Theresa,Hudson,2000-08-09,4,2001-12-31,2,64992
2,John,Ayers,1976-07-23,4,2014-03-29,3,87606
3,Roberta,Cline,1988-02-06,1,2001-05-23,4,92667
4,Tyler,Morales,1996-08-28,3,2013-05-31,2,63610
5,Joshua,King,1970-05-22,5,1998-05-25,3,104537
6,Kristen,Scott,1990-10-06,4,2016-02-12,2,61184
7,Erin,Thomas,1968-02-21,4,2001-08-04,2,71314
8,Jaime,Lee,1986-09-05,3,2008-06-04,2,62001
9,Mary,Snyder,1989-12-28,4,2011-01-14,3,84920
10,Bobby,Daniel,1996-02-03,3,2004-11-26,1,41224
11,Michael,Mccormick,1972-07-13,5,2011-01-10,2,76008
12,Amanda,Duffy,1996-10-19,2,1998-04-20,5,143398
13,Dalton,Aguirre,1970-10-28,5,1995-08-27,6,160702
14,James,Wiley,1999-07-29,2,2009-11-10,2,71200
15,Walter,Frank,1986-10-03,3,2011-10-23,3,73503
16,Michelle,Williams,1981-05-29,2,1992-02-21,3,96341
17,Jennifer,Glass,1993-12-06,1,2007-02-15,3,67175
18,Scott,Hunter,1980-09-09,5,2014-06-30,3,104874
19,Theresa,Vasquez,1986-10-26,3,2008-07-16,1,43132
20,Ralph,Alexander,1977-03-19,5,2010-02-07,4,127531
21,Monica,Shah,1974-03-16,5,2015-12-11,3,99065
22,Austin,Allen,1975-01-31,2,2005-01-21,3,103477
23,Sharon,Cox,2002-07-22,3,2014-11-24,2,64541
24,Daniel,Ruiz,1988-04-12,1,2019-01-29,1,37095
25,Mary,Solis,1967-08-08,1,2010-08-16,2,49675
26,Frederick,Anderson,1984-11-19,3,1997-03-22,2,61386
27,Angela,Kane,1992-06-27,4,2020-05-26,1,40208
28,Anthony,Robertson,1968-03-06,5,2001-09-04,4,131412
29,Amanda,Ramos,1975-07-26,1,2005-06-29,4,89811
30,Pamela,Stewart,2000-01-12,3,2005-01-01,2,64494
31,Jamie,Fuller,1979-10-12,4,1996-05-25,5,135207
32,Laura,Stewart,1987-11-21,3,2014-03-26,2,64371
33,Alexa,Rodgers,1966-02-14,5,1999-11-13,4,113249
34,Randy,Hayes,1991-07-18,2,1993-05-23,3,111924
35,Tiffany,Griffin,1983-01-29,5,1998-03-29,6,166444
36,Colleen,Bradley,1969-06-30,4,2002-01-10,2,68152
37,Donna,Reynolds,1976-08-03,4,2023-10-14,1,45282
38,Natalie,Barber,1965-03-01,5,2009-09-30,3,99453
39,David,Richardson,1981-02-13,3,2009-01-20,2,64563
40,Sherry,Gray,1978-05-06,1,2006-07-02,2,53186
41,Justin,Robinson,1972-08-31,5,1998-12-06,3,96333
